vcf_name	old_way_read_depth
DPCh_plate2_G07_S151	2.249376473
DPCh_plate2_G08_S152	0.9595146775
DPCh_plate2_H01_S153	1.515274802
DPCh_plate2_H02_S154	2.510195522
DPCh_plate2_H03_S155	1.925722627
DPCh_plate2_H04_S156	1.875454789
DPCh_plate2_H05_S157	2.339803943
DPCh_plate2_H06_S158	2.822839619
DPCh_plate2_H07_S159	1.83253589
DPCh_plate2_H08_S160	1.267514463
