NMFS_DNA_ID,PHENOTYPE,COLLECTION_DATE,REACH_SITE,LOCATION_COMMENTS_F,LATITUDE_F,LONGITUDE_F,Sample_ID,Sample_Plate
T031541,Spring Run,1997-10-01,NA,"East Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14664,T031541_T332_3G
T031542,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14581,T031542_T332_3H
T031543,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14593,T031543_T332_4A
T031544,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14605,T031544_T332_4B
T031545,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14617,T031545_T332_4C
T031546,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14629,T031546_T332_4D
T031547,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14641,T031547_T332_4E
T031548,Spring Run,1997-10-01,NA,"Upstr. Ptsbrg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14653,T031548_T332_4F
T031556,Spring Run,1997-10-08,NA,"Petersburg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14665,T031556_T332_5F
T031558,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14594,T031558_T332_5H
T031559,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14606,T031559_T332_6A
T031561,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14630,T031561_T332_6C
T031562,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14642,T031562_T332_6D
T031563,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14654,T031563_T332_6E
T031564,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14666,T031564_T332_6F
T031565,Spring Run,1997-10-11,NA,"East Fork South Fork, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14583,T031565_T332_6G
T031566,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14595,T031566_T332_6H
T031567,Spring Run,1994-01-24,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14607,T031567_T332_7A
T031569,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14631,T031569_T332_7C
T031570,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14643,T031570_T332_7D
T031572,Spring Run,1994-09-28,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14667,T031572_T332_7F
T031573,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14584,T031573_T332_7G
T031574,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14596,T031574_T332_7H
T031575,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14608,T031575_T332_8A
T031576,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14620,T031576_T332_8B
T031577,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14632,T031577_T332_8C
T031578,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14644,T031578_T332_8D
T031579,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14656,T031579_T332_8E
T031580,Spring Run,1994-09-27,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14668,T031580_T332_8F
T032032,NA,2006-10-12,NA,NA,41.2571638888888,-123.321702777777,CH14727,T032032_T337_5B
T032033,NA,2006-10-14,NA,NA,41.2571638888888,-123.321702777777,CH14739,T032033_T337_5C
T032034,NA,2006-09-27,Cecilville,NA,41.1381611111111,-123.138397222222,CH14751,T032034_T337_5D
T032038,NA,2006-10-12,Cecilville,NA,41.1381611111111,-123.138397222222,CH14704,T032038_T337_5H
T032039,NA,2006-10-05,Cecilville,NA,41.1381611111111,-123.138397222222,CH14716,T032039_T337_6A
T032041,NA,2006-10-05,Cecilville,NA,41.1381611111111,-123.138397222222,CH14740,T032041_T337_6C
T032042,NA,2006-09-21,NA,NA,41.2571638888888,-123.321702777777,CH14752,T032042_T337_6D
T032043,NA,2006-10-05,Cecilville,NA,41.1381611111111,-123.138397222222,CH14764,T032043_T337_6E
T032044,NA,2006-10-10,NA,NA,41.1010277777777,-123.078083333333,CH14681,T032044_T337_6F
T032046,NA,2006-10-12,Cecilville,NA,41.1381611111111,-123.138397222222,CH14705,T032046_T337_6H
T169745,Fall,2018-10-26,4B,NA,NA,NA,CH18439,T169745_T1772_3C
T169746,Fall,2017-10-20,5B,South Fork Salmon River - I think that is what it says on the envelope.,NA,NA,CH18451,T169746_T1772_3D
T169747,Fall,2017-10-17,9A,NA,NA,NA,CH18463,T169747_T1772_3E
T169748,Fall,2017-10-17,5A,South Fork,NA,NA,CH18475,T169748_T1772_3F
T169749,Fall,2017-10-17,6A,South Fork,NA,NA,CH18487,T169749_T1772_3G
T169750,Fall,2017-10-24,4B,NA,NA,NA,CH18499,T169750_T1772_3H
T169751,Fall,2017-10-24,4B,NA,NA,NA,CH18416,T169751_T1772_4A
T169752,Fall,2017-10-24,5A,NA,NA,NA,CH18428,T169752_T1772_4B
T169753,Fall,2017-10-24,9B,North Fork,NA,NA,CH18440,T169753_T1772_4C
T169754,Fall,2017-10-24,9A,NA,NA,NA,CH18452,T169754_T1772_4D
T169755,Fall,2017-10-27,4B,NA,NA,NA,CH18464,T169755_T1772_4E
T169756,Fall,2017-10-27,4B,NA,NA,NA,CH18476,T169756_T1772_4F
T169757,Fall,2017-10-27,4B,NA,NA,NA,CH18488,T169757_T1772_4G
T169758,Fall,2017-10-27,4B,NA,NA,NA,CH18500,T169758_T1772_4H
T169759,Fall,2017-10-27,4B,NA,NA,NA,CH18417,T169759_T1772_5A
T169760,Fall,2017-10-27,6A,NA,NA,NA,CH18429,T169760_T1772_5B
T169761,Fall,2017-10-27,5A,NA,NA,NA,CH18441,T169761_T1772_5C
T169762,Fall,2017-10-27,5A,NA,NA,NA,CH18453,T169762_T1772_5D
T169763,Fall,2017-11-03,4A,NA,NA,NA,CH18465,T169763_T1772_5E
T169764,Fall,2017-11-03,4A,NA,NA,NA,CH18477,T169764_T1772_5F
T169765,Fall,2017-11-04,9A,NA,NA,NA,CH18489,T169765_T1772_5G
T169766,Fall,2017-11-03,9A,NA,NA,NA,CH18501,T169766_T1772_5H
T169767,Fall,2017-11-04,9A,NA,NA,NA,CH18418,T169767_T1772_6A
T169768,Fall,2017-11-13,NA,NA,NA,NA,CH18430,T169768_T1772_6B
T169769,Fall,2017-11-03,5A,NA,NA,NA,CH18442,T169769_T1772_6C
T169770,Fall,2017-11-07,4B,NA,NA,NA,CH18454,T169770_T1772_6D
T169771,Fall,2017-11-07,4B,NA,NA,NA,CH18466,T169771_T1772_6E
T169772,Fall,2017-11-07,4B,NA,NA,NA,CH18478,T169772_T1772_6F
T169773,Fall,2017-11-07,4B,NA,NA,NA,CH18490,T169773_T1772_6G
T169774,Fall,2017-11-07,4B,NA,NA,NA,CH18502,T169774_T1772_6H
T169775,Fall,2017-11-07,9A,North Fork,NA,NA,CH18419,T169775_T1772_7A
T169776,Fall,2017-10-31,10B,NA,NA,NA,CH18431,T169776_T1772_7B
T169777,Fall,2017-10-31,10B,NA,NA,NA,CH18443,T169777_T1772_7C
T169778,Fall,2017-10-31,5A,NA,NA,NA,CH18455,T169778_T1772_7D
T169779,Fall,2017-10-31,4A,NA,NA,NA,CH18467,T169779_T1772_7E
T169780,Fall,2017-10-31,NA,NA,NA,NA,CH18479,T169780_T1772_7F
T169781,Fall,2017-10-31,NA,NA,NA,NA,CH18491,T169781_T1772_7G
T169782,Fall,2017-10-31,4B,NA,NA,NA,CH18503,T169782_T1772_7H
T169783,Fall,2017-10-31,4B,NA,NA,NA,CH18420,T169783_T1772_8A
T169784,Fall,2017-10-31,4B,NA,NA,NA,CH18432,T169784_T1772_8B
T169785,Fall,2017-10-31,9A,NA,NA,NA,CH18444,T169785_T1772_8C
T169786,Fall,2017-10-31,10A,NA,NA,NA,CH18456,T169786_T1772_8D
T169787,Fall,2017-10-31,5A,NA,NA,NA,CH18468,T169787_T1772_8E
T169788,Fall,2017-10-31,5B,NA,NA,NA,CH18480,T169788_T1772_8F
T169789,Spring,2017-10-05,18,NA,NA,NA,CH18492,T169789_T1772_8G
T169790,Spring,2017-09-28,17,NA,NA,NA,CH18504,T169790_T1772_8H
T169791,Spring,2017-10-12,14,NA,NA,NA,CH18421,T169791_T1772_9A
T169792,Spring,2017-10-05,17,NA,NA,NA,CH18433,T169792_T1772_9B
T169793,Spring,2017-09-25,17,NA,NA,NA,CH18445,T169793_T1772_9C
T169794,Spring,2017-10-02,14,NA,NA,NA,CH18457,T169794_T1772_9D
T169795,Fall,2018-11-06,9A,NA,NA,NA,CH18469,T169795_T1772_9E
T169796,Fall,2018-11-02,NA,North Fork,NA,NA,CH18481,T169796_T1772_9F
T169797,Fall,2018-10-30,4B,NA,NA,NA,CH18493,T169797_T1772_9G
T169798,Fall,2018-10-30,4B,NA,NA,NA,CH18505,T169798_T1772_9H
T169799,Fall,2018-11-02,4A,NA,NA,NA,CH18422,T169799_T1772_10A
T169800,Fall,2018-11-13,NA,North Fork,NA,NA,CH18434,T169800_T1772_10B
T169801,Fall,2018-11-02,9A,North Fork,NA,NA,CH18446,T169801_T1772_10C
T169802,Fall,2018-11-02,4A,NA,NA,NA,CH18458,T169802_T1772_10D
T169803,Fall,2018-11-02,4A,NA,NA,NA,CH18470,T169803_T1772_10E
T169804,Fall,2018-11-06,5A,NA,NA,NA,CH18482,T169804_T1772_10F
T169805,Fall,2018-10-30,4B,NA,NA,NA,CH18494,T169805_T1772_10G
T169806,Fall,2018-10-30,5B,South Fork,NA,NA,CH18506,T169806_T1772_10H
T169807,Fall,2018-10-30,NA,South Fork,NA,NA,CH18423,T169807_T1772_11A
T169808,Fall,2018-11-13,9A,North Fork,NA,NA,CH18435,T169808_T1772_11B
T169809,Fall,2018-10-30,4A,NA,NA,NA,CH18447,T169809_T1772_11C
T169810,Fall,2018-10-26,6A,South Fork,NA,NA,CH18459,T169810_T1772_11D
T169811,Fall,2018-10-26,4B,NA,NA,NA,CH18471,T169811_T1772_11E
T169812,Fall,2018-10-26,5B,NA,NA,NA,CH18483,T169812_T1772_11F
T169813,Fall,2018-10-23,4B,NA,NA,NA,CH18495,T169813_T1772_11G
T169814,Fall,2018-10-16,4A,NA,NA,NA,CH18507,T169814_T1772_11H
T169815,Fall,2018-11-20,4A,NA,NA,NA,CH18424,T169815_T1772_12A
T169816,Fall,2018-10-30,5A,NA,NA,NA,CH18436,T169816_T1772_12B
T169817,Fall,2018-10-26,5A,South Fork,NA,NA,CH18448,T169817_T1772_12C
T169818,Fall,2018-10-23,9A,North Fork,NA,NA,CH18460,T169818_T1772_12D
T169819,Fall,2018-10-23,9A,North Fork,NA,NA,CH18472,T169819_T1772_12E
T169820,Fall,2018-10-26,9A,NA,NA,NA,CH18484,T169820_T1772_12F
T169821,Fall,2018-10-19,5A,NA,NA,NA,CH18496,T169821_T1772_12G
T169822,Fall,2018-10-23,5A,NA,NA,NA,CH18508,T169822_T1772_12H
T170111,Fall,2086-11-06,NA,NA,NA,NA,CH18701,T170111_T1776_1A
T170112,Fall,2087-10-21,NA,NA,NA,NA,CH18713,T170112_T1776_1B
T170113,Fall,2087-10-28,NA,NA,NA,NA,CH18725,T170113_T1776_1C
T170114,Fall,2087-10-28,NA,NA,NA,NA,CH18737,T170114_T1776_1D
T170115,Fall,2087-10-28,NA,NA,NA,NA,CH18749,T170115_T1776_1E
T170116,Fall,2087-10-28,NA,NA,NA,NA,CH18761,T170116_T1776_1F
T170117,Fall,2087-10-28,NA,NA,NA,NA,CH18773,T170117_T1776_1G
T170118,Fall,2087-10-28,NA,NA,NA,NA,CH18785,T170118_T1776_1H
T170119,Fall,2087-10-28,NA,NA,NA,NA,CH18702,T170119_T1776_2A
T170120,Fall,2087-10-28,NA,NA,NA,NA,CH18714,T170120_T1776_2B
T170121,Fall,2087-10-28,NA,NA,NA,NA,CH18726,T170121_T1776_2C
T170122,Fall,2087-11-04,NA,NA,NA,NA,CH18738,T170122_T1776_2D
T170123,Fall,2087-11-04,NA,NA,NA,NA,CH18750,T170123_T1776_2E
T170124,Fall,2087-11-04,NA,NA,NA,NA,CH18762,T170124_T1776_2F
T170125,Fall,2087-11-04,NA,NA,NA,NA,CH18774,T170125_T1776_2G
T170126,Fall,2087-11-04,NA,NA,NA,NA,CH18786,T170126_T1776_2H
T170127,Fall,2087-11-04,NA,NA,NA,NA,CH18703,T170127_T1776_3A
T170128,Fall,2087-11-04,NA,NA,NA,NA,CH18715,T170128_T1776_3B
T170129,Fall,2087-11-04,NA,NA,NA,NA,CH18727,T170129_T1776_3C
T170130,Fall,2087-11-04,NA,NA,NA,NA,CH18739,T170130_T1776_3D
T170131,Fall,2087-11-04,NA,NA,NA,NA,CH18751,T170131_T1776_3E
T170132,Fall,2087-11-04,NA,NA,NA,NA,CH18763,T170132_T1776_3F
T170133,Fall,2087-11-04,NA,NA,NA,NA,CH18775,T170133_T1776_3G
T170134,Fall,2087-11-04,NA,NA,NA,NA,CH18787,T170134_T1776_3H
T170135,Fall,2087-11-04,NA,NA,NA,NA,CH18704,T170135_T1776_4A
T170136,Fall,2087-11-04,NA,NA,NA,NA,CH18716,T170136_T1776_4B
T170137,Fall,2087-11-04,NA,NA,NA,NA,CH18728,T170137_T1776_4C
T170138,Fall,2088-10-12,NA,NA,NA,NA,CH18740,T170138_T1776_4D
T170139,Fall,2088-10-19,NA,NA,NA,NA,CH18752,T170139_T1776_4E
T170140,Fall,2088-10-19,NA,NA,NA,NA,CH18764,T170140_T1776_4F
T170141,Fall,2088-10-19,NA,NA,NA,NA,CH18776,T170141_T1776_4G
T170142,Fall,2088-10-26,NA,NA,NA,NA,CH18788,T170142_T1776_4H
T170143,Fall,2088-10-26,NA,NA,NA,NA,CH18705,T170143_T1776_5A
T170144,Fall,2088-10-26,NA,NA,NA,NA,CH18717,T170144_T1776_5B
T170145,Fall,2088-10-26,NA,NA,NA,NA,CH18729,T170145_T1776_5C
T170146,Fall,2088-10-26,NA,NA,NA,NA,CH18741,T170146_T1776_5D
T170147,Fall,2088-11-01,NA,NA,NA,NA,CH18753,T170147_T1776_5E
T170148,Fall,2088-11-01,NA,NA,NA,NA,CH18765,T170148_T1776_5F
T170149,Fall,2088-11-01,NA,NA,NA,NA,CH18777,T170149_T1776_5G
T170150,Fall,2088-11-01,NA,NA,NA,NA,CH18789,T170150_T1776_5H
T170151,Fall,2088-11-01,NA,NA,NA,NA,CH18706,T170151_T1776_6A
T170152,Fall,2088-11-04,NA,NA,NA,NA,CH18718,T170152_T1776_6B
T170153,Fall,2088-11-06,NA,NA,NA,NA,CH18730,T170153_T1776_6C
T170154,Fall,2088-11-09,NA,NA,NA,NA,CH18742,T170154_T1776_6D
T170155,Fall,2088-11-09,NA,NA,NA,NA,CH18754,T170155_T1776_6E
T170156,Fall,2088-11-09,NA,NA,NA,NA,CH18766,T170156_T1776_6F
T170157,Fall,2088-11-09,NA,NA,NA,NA,CH18778,T170157_T1776_6G
T170158,Fall,2088-11-09,NA,NA,NA,NA,CH18790,T170158_T1776_6H
T170159,Fall,2088-11-16,NA,NA,NA,NA,CH18707,T170159_T1776_7A
T170160,Fall,2088-11-16,NA,NA,NA,NA,CH18719,T170160_T1776_7B
T170161,Fall,2088-11-16,NA,NA,NA,NA,CH18731,T170161_T1776_7C
T170162,Fall,2088-11-16,NA,NA,NA,NA,CH18743,T170162_T1776_7D
T170163,Fall,2088-11-16,NA,NA,NA,NA,CH18755,T170163_T1776_7E
T170164,Fall,2088-11-20,NA,NA,NA,NA,CH18767,T170164_T1776_7F
T170165,Fall,2088-11-20,NA,NA,NA,NA,CH18779,T170165_T1776_7G
T170166,Fall,2088-11-20,NA,NA,NA,NA,CH18791,T170166_T1776_7H
T170167,Fall,2088-11-20,NA,NA,NA,NA,CH18708,T170167_T1776_8A
T170168,Fall,2088-11-20,NA,NA,NA,NA,CH18720,T170168_T1776_8B
T170169,Fall,2088-12-07,NA,NA,NA,NA,CH18732,T170169_T1776_8C
T170170,Fall,2088-12-07,NA,NA,NA,NA,CH18744,T170170_T1776_8D
T170171,Fall,2084-10-18,NA,NA,NA,NA,CH18756,T170171_T1776_8E
T170172,Fall,2084-10-18,NA,NA,NA,NA,CH18768,T170172_T1776_8F
T170173,Fall,2084-10-31,NA,NA,NA,NA,CH18780,T170173_T1776_8G
T170174,Fall,2084-10-31,NA,NA,NA,NA,CH18792,T170174_T1776_8H
T170175,Fall,2084-10-31,NA,NA,NA,NA,CH18709,T170175_T1776_9A
T170176,Fall,2084-10-31,NA,NA,NA,NA,CH18721,T170176_T1776_9B
T170177,Fall,2084-10-31,NA,NA,NA,NA,CH18733,T170177_T1776_9C
T170178,Fall,2084-10-31,NA,NA,NA,NA,CH18745,T170178_T1776_9D
T170179,Fall,2084-10-31,NA,NA,NA,NA,CH18757,T170179_T1776_9E
T170180,Fall,2084-10-31,NA,NA,NA,NA,CH18769,T170180_T1776_9F
T170181,Fall,2084-10-31,NA,NA,NA,NA,CH18781,T170181_T1776_9G
T170182,Fall,2084-10-31,NA,NA,NA,NA,CH18793,T170182_T1776_9H
T170183,Fall,2084-11-07,NA,NA,NA,NA,CH18710,T170183_T1776_10A
T170184,Fall,2084-11-07,NA,NA,NA,NA,CH18722,T170184_T1776_10B
T170185,Fall,2084-11-07,NA,NA,NA,NA,CH18734,T170185_T1776_10C
T170186,Fall,2084-11-07,NA,NA,NA,NA,CH18746,T170186_T1776_10D
T170187,Fall,2084-11-07,NA,NA,NA,NA,CH18758,T170187_T1776_10E
T170188,Fall,2084-11-07,NA,NA,NA,NA,CH18770,T170188_T1776_10F
T170189,Fall,2084-11-07,NA,NA,NA,NA,CH18782,T170189_T1776_10G
T170190,Fall,2084-11-07,NA,NA,NA,NA,CH18794,T170190_T1776_10H
T170191,Fall,2084-11-07,NA,NA,NA,NA,CH18711,T170191_T1776_11A
T170192,Fall,2084-11-07,NA,NA,NA,NA,CH18723,T170192_T1776_11B
T170193,Fall,2084-11-07,NA,NA,NA,NA,CH18735,T170193_T1776_11C
T170194,Fall,2084-11-07,NA,NA,NA,NA,CH18747,T170194_T1776_11D
T170195,Fall,2084-11-07,NA,NA,NA,NA,CH18759,T170195_T1776_11E
T170196,Fall,2084-11-07,NA,NA,NA,NA,CH18771,T170196_T1776_11F
T170197,Fall,2084-11-07,NA,NA,NA,NA,CH18783,T170197_T1776_11G
T170198,Fall,2084-11-07,NA,NA,NA,NA,CH18795,T170198_T1776_11H
T170199,Fall,2084-11-07,NA,NA,NA,NA,CH18712,T170199_T1776_12A
T170200,Fall,2084-11-07,NA,NA,NA,NA,CH18724,T170200_T1776_12B
T170201,Fall,2084-11-07,NA,NA,NA,NA,CH18736,T170201_T1776_12C
T170202,Fall,2084-11-07,NA,NA,NA,NA,CH18748,T170202_T1776_12D
T170203,Fall,2084-11-07,NA,NA,NA,NA,CH18760,T170203_T1776_12E
T170204,Fall,2084-11-07,NA,NA,NA,NA,CH18772,T170204_T1776_12F
T170205,Fall,2084-11-20,NA,NA,NA,NA,CH18784,T170205_T1776_12G
T170206,Fall,2084-11-14,NA,NA,NA,NA,CH18796,T170206_T1776_12H
T170207,Fall,2084-11-14,NA,NA,NA,NA,CH18797,T170207_T1777_1A
T170208,Fall,2084-11-14,NA,NA,NA,NA,CH18809,T170208_T1777_1B
T170209,Fall,2084-11-14,NA,NA,NA,NA,CH18821,T170209_T1777_1C
T170210,Fall,2084-11-14,NA,NA,NA,NA,CH18833,T170210_T1777_1D
T170211,Fall,2084-11-14,NA,NA,NA,NA,CH18845,T170211_T1777_1E
T170212,Fall,2084-11-14,NA,NA,NA,NA,CH18857,T170212_T1777_1F
T170213,Fall,2084-11-14,NA,NA,NA,NA,CH18869,T170213_T1777_1G
T170214,Fall,2084-11-14,NA,NA,NA,NA,CH18881,T170214_T1777_1H
T170215,Fall,2084-11-14,NA,NA,NA,NA,CH18798,T170215_T1777_2A
T170216,Fall,2084-11-14,NA,NA,NA,NA,CH18810,T170216_T1777_2B
T170217,Fall,2084-11-14,NA,NA,NA,NA,CH18822,T170217_T1777_2C
T170218,Fall,2084-11-14,NA,NA,NA,NA,CH18834,T170218_T1777_2D
T170219,Fall,2084-11-14,NA,NA,NA,NA,CH18846,T170219_T1777_2E
T170220,Fall,2084-11-14,NA,NA,NA,NA,CH18858,T170220_T1777_2F
T170221,Fall,2084-11-20,NA,NA,NA,NA,CH18870,T170221_T1777_2G
T170222,Fall,2084-11-20,NA,NA,NA,NA,CH18882,T170222_T1777_2H
T170223,Fall,2084-11-07,NA,NA,NA,NA,CH18799,T170223_T1777_3A
T170224,Fall,2084-11-21,NA,NA,NA,NA,CH18811,T170224_T1777_3B
T170225,Fall,2084-11-21,NA,NA,NA,NA,CH18823,T170225_T1777_3C
T170226,Fall,2084-11-21,NA,NA,NA,NA,CH18835,T170226_T1777_3D
T170227,Fall,2084-11-21,NA,NA,NA,NA,CH18847,T170227_T1777_3E
T170228,Fall,2084-11-13,NA,NA,NA,NA,CH18859,T170228_T1777_3F
T170229,Fall,2084-11-13,NA,NA,NA,NA,CH18871,T170229_T1777_3G
T170230,Fall,2084-11-13,NA,NA,NA,NA,CH18883,T170230_T1777_3H
T170231,Fall,2084-11-13,NA,NA,NA,NA,CH18800,T170231_T1777_4A
T170232,Fall,2084-10-28,NA,NA,NA,NA,CH18812,T170232_T1777_4B
T170233,Fall,2084-10-28,NA,NA,NA,NA,CH18824,T170233_T1777_4C
T170234,Fall,2084-11-10,NA,NA,NA,NA,CH18836,T170234_T1777_4D
T170235,Fall,2084-11-10,NA,NA,NA,NA,CH18848,T170235_T1777_4E
T170236,Fall,2084-11-10,NA,NA,NA,NA,CH18860,T170236_T1777_4F
T170237,Fall,2084-11-10,NA,NA,NA,NA,CH18872,T170237_T1777_4G
T170238,Fall,2084-11-10,NA,NA,NA,NA,CH18884,T170238_T1777_4H
T170239,Fall,2084-11-10,NA,NA,NA,NA,CH18801,T170239_T1777_5A
T170240,Fall,2084-11-10,NA,NA,NA,NA,CH18813,T170240_T1777_5B
T170241,Fall,2084-11-10,NA,NA,NA,NA,CH18825,T170241_T1777_5C
T170242,Fall,2084-11-10,NA,NA,NA,NA,CH18837,T170242_T1777_5D
T170243,Fall,2084-11-10,NA,NA,NA,NA,CH18849,T170243_T1777_5E
T170244,Fall,2084-11-10,NA,NA,NA,NA,CH18861,T170244_T1777_5F
T170245,Fall,2084-11-10,NA,NA,NA,NA,CH18873,T170245_T1777_5G
T170246,Fall,2084-11-10,NA,NA,NA,NA,CH18885,T170246_T1777_5H
T170247,Fall,2084-11-10,NA,NA,NA,NA,CH18802,T170247_T1777_6A
T170248,Fall,2088-10-27,4B,NA,NA,NA,CH18814,T170248_T1777_6B
T170249,Fall,2088-10-27,4B,NA,NA,NA,CH18826,T170249_T1777_6C
T170250,Fall,2088-10-17,4B,NA,NA,NA,CH18838,T170250_T1777_6D
T170251,Fall,2088-10-20,6A,NA,NA,NA,CH18850,T170251_T1777_6E
T170252,Fall,2088-10-20,9A,NA,NA,NA,CH18862,T170252_T1777_6F
T170253,Fall,2088-10-31,10B,NA,NA,NA,CH18874,T170253_T1777_6G
T170254,Fall,2088-10-20,9A,NA,NA,NA,CH18886,T170254_T1777_6H
T170255,Fall,2088-11-10,4B,NA,NA,NA,CH18803,T170255_T1777_7A
T170256,Fall,2088-11-07,9A,NA,NA,NA,CH18815,T170256_T1777_7B
T170257,Fall,2088-11-07,9A,NA,NA,NA,CH18827,T170257_T1777_7C
T170258,Fall,2088-11-07,4B,NA,NA,NA,CH18839,T170258_T1777_7D
T170259,Fall,2088-11-07,9A,NA,NA,NA,CH18851,T170259_T1777_7E
T170260,Fall,2088-11-07,9A,NA,NA,NA,CH18863,T170260_T1777_7F
T170261,Fall,2088-10-17,4B,NA,NA,NA,CH18875,T170261_T1777_7G
T170262,Fall,2088-11-03,5B,NA,NA,NA,CH18887,T170262_T1777_7H
T170263,Fall,2088-10-31,9A,NA,NA,NA,CH18804,T170263_T1777_8A
T170264,Fall,2088-11-07,4A,NA,NA,NA,CH18816,T170264_T1777_8B
T170265,Fall,2088-11-07,4A,NA,NA,NA,CH18828,T170265_T1777_8C
T170266,Fall,2088-11-17,4A,NA,NA,NA,CH18840,T170266_T1777_8D
T170267,Fall,2088-11-10,4B,NA,NA,NA,CH18852,T170267_T1777_8E
T170268,Fall,2088-11-14,4A,NA,NA,NA,CH18864,T170268_T1777_8F
T170269,Fall,2088-11-21,9A,NA,NA,NA,CH18876,T170269_T1777_8G
T170270,Fall,2088-11-14,4B,NA,NA,NA,CH18888,T170270_T1777_8H
T170271,Fall,2088-11-17,4B,NA,NA,NA,CH18805,T170271_T1777_9A
T170272,Fall,2088-11-28,4B,NA,NA,NA,CH18817,T170272_T1777_9B
T170273,Fall,2088-12-05,4B,NA,NA,NA,CH18829,T170273_T1777_9C
T170274,Fall,2088-11-21,4B,NA,NA,NA,CH18841,T170274_T1777_9D
T170275,Fall,2088-11-21,9A,NA,NA,NA,CH18853,T170275_T1777_9E
T170276,Fall,2088-10-24,9A,NA,NA,NA,CH18865,T170276_T1777_9F
T170277,Fall,2088-10-24,9A,NA,NA,NA,CH18877,T170277_T1777_9G
T170278,Fall,2088-11-03,4A,NA,NA,NA,CH18889,T170278_T1777_9H
T170279,Fall,2088-11-03,4A,NA,NA,NA,CH18806,T170279_T1777_10A
T170280,Fall,2088-11-03,4A,NA,NA,NA,CH18818,T170280_T1777_10B
T170281,Fall,2088-11-03,4A,NA,NA,NA,CH18830,T170281_T1777_10C
