ID,NMFS ID,date,year,month,julian ,col_date,week,mass,fl,sex,gonad,drywet,gsi,soma,
70,T153476,4-Jun,2009,June,155,6/4/09,22,5.06,692,f,78,0.27,0.0157,4982,
71,T153477,5-Jun,2009,June,156,6/5/09,22,9.08,836,m,22,0.34,0.0024,9058,
72,T153478,5-Jun,2009,June,156,6/5/09,22,7.22,771,f,142,0.24,0.0201,7078,
73,T153479,5-Jun,2009,June,156,6/5/09,22,6.32,743,f,121,0.38,0.0195,6199,
74,T153480,5-Jun,2009,June,156,6/5/09,22,5.1,694,m,18,0.35,0.0035,5082,
75,T153481,5-Jun,2009,June,156,6/5/09,22,7.06,762,m,47,0.43,0.0067,7013,
76,T153482,6-Jun,2009,June,157,6/6/09,22,5.38,723,f,100,0.31,0.0189,5280,
77,T153483,6-Jun,2009,June,157,6/6/09,22,6.3,734,f,79,0.35,0.0127,6221,
91,T153497,13-Jun,2009,June,164,6/13/09,23,12.94,933,m,53,0.26,0.0041,12887,
92,T153498,13-Jun,2009,June,164,6/13/09,23,5.94,743,f,152,0.36,0.0263,5788,
93,T153499,13-Jun,2009,June,164,6/13/09,23,4.18,650,f,78,0.27,0.019,4102,
94,T153500,13-Jun,2009,June,164,6/13/09,23,7.94,795,m,25,0.34,0.0032,7915,
95,T153501,13-Jun,2009,June,164,6/13/09,23,9.02,855,f,242,0.28,0.0276,8778,
96,T153502,13-Jun,2009,June,164,6/13/09,23,4.86,649,m,19,0.34,0.0039,4841,
97,T153503,13-Jun,2009,June,164,6/13/09,23,7.32,775,f,174,0.28,0.0243,7146,
98,T153504,13-Jun,2009,June,164,6/13/09,23,4.38,658,m,18,0.32,0.0041,4362,
99,T153505,13-Jun,2009,June,164,6/13/09,23,3.12,594,m,14,0.26,0.0045,3106,
100,T153506,13-Jun,2009,June,164,6/13/09,23,4.48,684,f,98,0.27,0.0224,4382,
102,T153508,14-Jun,2009,June,165,6/14/09,24,5.24,708,f,124,0.29,0.0242,5116,
105,T153511,14-Jun,2009,June,165,6/14/09,24,6.12,743,f,100,0.26,0.0166,6020,
128,T153533,25-Jun,2009,June,176,6/25/09,25,4.78,674,f,67,0.34,0.0142,4713,
129,T153534,25-Jun,2009,June,176,6/25/09,25,4.76,680,m,23,0.28,0.0049,4737,
130,T153535,26-Jun,2009,June,177,6/26/09,25,7.02,777,f,495,0.26,0.0759,6525,
131,T153536,26-Jun,2009,June,177,6/26/09,25,4.9,686,m,48,0.39,0.0099,4852,
132,T153537,3-Jul,2009,July,184,7/3/09,26,8.66,824,f,234,0.29,0.0278,8426,
133,T153538,3-Jul,2009,July,184,7/3/09,26,7.12,796,m,45,0.34,0.0064,7075,
134,T153539,3-Jul,2009,July,184,7/3/09,26,7.92,805,m,70,0.32,0.0089,7850,
135,T153540,3-Jul,2009,July,184,7/3/09,26,6.16,721,f,192,0.3,0.0322,5968,
136,T153541,3-Jul,2009,July,184,7/3/09,26,4.94,673,m,119,0.24,0.0247,4821,
137,T153542,3-Jul,2009,July,184,7/3/09,26,5.22,716,f,157,0.28,0.031,5063,
138,T153543,3-Jul,2009,July,184,7/3/09,26,5.24,729,f,80,0.34,0.0155,5160,
139,T153544,3-Jul,2009,July,184,7/3/09,26,6.94,791,m,50,0.25,0.0073,6890,
140,T153545,3-Jul,2009,July,184,7/3/09,26,5,693,f,169,0.25,0.035,4831,
141,T153546,3-Jul,2009,July,184,7/3/09,26,5.44,712,f,141,0.27,0.0266,5299,
142,T153547,3-Jul,2009,July,184,7/3/09,26,7.48,807,f,200,0.28,0.0275,7280,
143,T153548,10-Jul,2009,July,191,7/10/09,27,8.54,807,f,247,0.33,0.0298,8293,
153,T153558,17-Jul,2009,July,198,7/17/09,28,7.64,808,m,50,0.33,0.0066,7590,
154,T153559,17-Jul,2009,July,198,7/17/09,28,6.44,733,f,197,0.29,0.0316,6243,
155,T153560,17-Jul,2009,July,198,7/17/09,28,4.74,692,m,33,0.35,0.007,4707,
156,T153561,17-Jul,2009,July,198,7/17/09,28,5.5,718,f,220,0.29,0.0417,5280,
157,T153562,17-Jul,2009,July,198,7/17/09,28,4.78,684,m,86,0.38,0.0183,4694,
158,T153563,17-Jul,2009,July,198,7/17/09,28,12.8,916,m,106,0.33,0.0084,12694,
159,T153564,17-Jul,2009,July,198,7/17/09,28,5.96,753,m,68,0.34,0.0115,5892,
160,T153565,7-Aug,2009,August,219,8/7/09,31,6.16,747,m,69,0.34,0.0113,6091,
161,T153566,7-Aug,2009,August,219,8/7/09,31,5.48,721,f,191,0.31,0.0361,5289,
162,T153567,7-Aug,2009,August,219,8/7/09,31,6.98,787,f,319,0.3,0.0479,6661,
163,T153568,7-Aug,2009,August,219,8/7/09,31,8.5,860,f,418,0.24,0.0517,8082,
164,T153569,7-Aug,2009,August,219,8/7/09,31,6.3,778,f,342,0.25,0.0574,5958,
165,T153570,7-Aug,2009,August,219,8/7/09,31,7.48,806,f,328,0.29,0.0459,7152,
166,T153571,7-Aug,2009,August,219,8/7/09,31,6.8,761,m,114,0.38,0.0171,6686,
167,T153572,7-Aug,2009,August,219,8/7/09,31,7.12,777,f,278,0.29,0.0406,6842,
168,T153573,8-Aug,2009,August,220,8/8/09,31,6.42,680,m,197,0.34,0.0317,6223,
169,T153574,21-Aug,2009,August,233,8/21/09,33,5.56,731,f,286,0.26,0.0542,5274,
170,T153575,21-Aug,2009,August,233,8/21/09,33,13.78,953,m,376,0.27,0.0281,13404,
171,T153576,21-Aug,2009,August,233,8/21/09,33,4.46,668,m,67,0.22,0.0153,4393,
172,T153577,21-Aug,2009,August,233,8/21/09,33,7.74,814,m,153,0.3,0.0202,7587,
173,T153578,29-Aug,2009,August,241,8/29/09,34,7.62,800,f,398,0.27,0.0551,7222,
174,T153579,29-Aug,2009,August,241,8/29/09,34,5.28,736,m,106,0.31,0.0205,5174,
175,T153580,29-Aug,2009,August,241,8/29/09,34,5.24,719,f,303,0.28,0.0614,4937,
176,T153581,29-Aug,2009,August,241,8/29/09,34,5.34,732,f,295,0.29,0.0585,5045,
177,T153582,29-Aug,2009,August,241,8/29/09,34,5.8,745,m,120,0.31,0.0211,5680,
178,T153583,29-Aug,2009,August,241,8/29/09,34,5.42,749,f,347,0.24,0.0684,5073,
179,T153584,29-Aug,2009,August,241,8/29/09,34,8.24,823,f,558,0.24,0.0726,7682,
180,T153585,29-Aug,2009,August,241,8/29/09,34,8.24,847,m,107,0.33,0.0132,8133,
181,T153586,29-Aug,2009,August,241,8/29/09,34,4.88,751,f,200,0.29,0.0427,4680,
183,T153588,30-Aug,2009,August,242,8/30/09,35,9.5,852,m,192,0.31,0.0206,9308,
184,T153589,30-Aug,2009,August,242,8/30/09,35,4.68,691,f,230,0.26,0.0517,4450,
186,T153591,4-Sep,2009,September,247,9/4/09,35,11.98,896,f,535,0.28,0.0467,11445,
187,T153592,4-Sep,2009,September,247,9/4/09,35,5.98,743,f,326,0.27,0.0577,5654,
188,T153593,4-Sep,2009,September,247,9/4/09,35,5.1,707,f,282,0.27,0.0585,4818,
189,T153594,4-Sep,2009,September,247,9/4/09,35,5.76,744,f,328,0.27,0.0604,5432,
190,T153595,4-Sep,2009,September,247,9/4/09,35,7.58,806,m,169,0.32,0.0228,7411,
191,T153596,4-Sep,2009,September,247,9/4/09,35,6.12,726,f,295,0.31,0.0506,5825,
192,T153597,4-Sep,2009,September,247,9/4/09,35,6.34,768,f,286,0.28,0.0472,6054,
193,T153598,4-Sep,2009,September,247,9/4/09,35,5.3,705,f,236,0.3,0.0466,5064,
194,T153599,4-Sep,2009,September,247,9/4/09,35,6.02,719,f,263,0.29,0.0457,5757,
195,T153600,4-Sep,2009,September,247,9/4/09,35,8.32,810,f,390,0.25,0.0492,7930,
196,T153601,4-Sep,2009,September,247,9/4/09,35,7.54,808,m,298,0.28,0.0411,7242,
197,T153602,4-Sep,2009,September,247,9/4/09,35,5.16,705,f,203,0.31,0.041,4957,
198,T153603,5-Sep,2009,September,248,9/5/09,35,5.96,737,f,243,0.33,0.0425,5717,
199,T153604,5-Sep,2009,September,248,9/5/09,35,6.02,763,f,326,0.28,0.0573,5694,
200,T153605,5-Sep,2009,September,248,9/5/09,35,4.84,688,f,102,0.26,0.0215,4738,
201,T153606,5-Sep,2009,September,248,9/5/09,35,6.02,757,m,164,0.29,0.028,5856,
202,T153607,5-Sep,2009,September,248,9/5/09,35,4.74,695,f,193,0.29,0.0424,4547,
203,T153608,5-Sep,2009,September,248,9/5/09,35,9.24,851,f,477,0.31,0.0544,8763,
204,T153609,5-Sep,2009,September,248,9/5/09,35,4.98,697,m,60,0.27,0.0122,4920,
205,T153610,5-Sep,2009,September,248,9/5/09,35,4.24,705,f,239,0.25,0.0597,4001,
206,T153611,5-Sep,2009,September,248,9/5/09,35,6.74,771,f,312,0.26,0.0485,6428,
207,T153612,5-Sep,2009,September,248,9/5/09,35,6.32,751,f,349,0.26,0.0584,5971,
208,T153613,5-Sep,2009,September,248,9/5/09,35,5.54,720,m,116,0.34,0.0214,5424,
209,T153614,5-Sep,2009,September,248,9/5/09,35,5.38,703,f,203,0.3,0.0392,5177,
210,T153615,11-Sep,2009,September,254,9/11/09,36,8.16,804,f,512,0.28,0.0669,7648,
211,T153616,11-Sep,2009,September,254,9/11/09,36,9.14,866,f,403,0.14,0.0461,8737,
212,T153617,11-Sep,2009,September,254,9/11/09,36,5.16,729,m,140,0.6,0.0279,5020,
213,T153618,11-Sep,2009,September,254,9/11/09,36,4.94,689,f,179,0.26,0.0376,4761,
214,T153619,12-Sep,2009,September,255,9/12/09,36,5.3,734,f,240,0.26,0.0474,5060,
215,T153620,12-Sep,2009,September,255,9/12/09,36,4.66,666,f,230,0.32,0.0519,4430,
216,T153621,12-Sep,2009,September,255,9/12/09,36,4.4,673,f,200,0.29,0.0476,4200,
217,T153622,12-Sep,2009,September,255,9/12/09,36,5.98,759,f,291,0.28,0.0512,5689,
218,T153623,12-Sep,2009,September,255,9/12/09,36,5.26,723,m,277,0.34,0.0556,4983,
219,T153624,12-Sep,2009,September,255,9/12/09,36,5.66,724,f,286,0.23,0.0532,5374,
220,T153625,12-Sep,2009,September,255,9/12/09,36,6.98,788,f,296,0.27,0.0443,6684,
221,T153626,13-Sep,2009,September,256,9/13/09,37,7.02,797,m,282,0.25,0.0419,6738,
222,T153627,19-Sep,2009,September,262,9/19/09,37,8,851,m,336,0.29,0.0438,7664,
223,T153628,19-Sep,2009,September,262,9/19/09,37,6.34,746,m,207,0.31,0.0338,6133,
224,T153629,19-Sep,2009,September,262,9/19/09,37,9.62,876,m,310,0.28,0.0333,9310,
226,T153631,20-Sep,2009,September,263,9/20/09,38,5.16,720,m,104,0.3,0.0206,5056,
227,T153632,20-Sep,2009,September,263,9/20/09,38,6,737,m,192,0.3,0.0331,5808,
228,T153633,20-Sep,2009,September,263,9/20/09,38,7.28,814,f,471,0.26,0.0692,6809,
229,T153634,20-Sep,2009,September,263,9/20/09,38,9.02,877,f,367,0.32,0.0424,8653,
230,T153635,20-Sep,2009,September,263,9/20/09,38,6.96,768,f,313,0.28,0.0471,6647,
231,T153636,20-Sep,2009,September,263,9/20/09,38,4.66,689,f,272,0.3,0.062,4388,
232,T153637,20-Sep,2009,September,263,9/20/09,38,6.34,811,m,174,0.3,0.0282,6166,
